File Date,11/30/2017
NPA_ID,type_of_code,        ASSIGNABLE,EXPLANATION,RESERVED,ASSIGNED,ASSIGNMENT_DT,USE,LOCATION,COUNTRY,IN_SERVICE,IN_SERVICE_DT,STATUS,PLANNING_LETTERS,"NOTES",OVERLAY,OVERLAY_COMPLEX,PARENT_NPA_ID,SERVICE,TIME_ZONE,AREA_SERVED,MAP,IN_JEOPARDY,RELIEF_PLANNING_IN_PROGRESS,HOME_NPA_LOCAL_CALLS,HOME_NPA_TOLL_CALLS,FOREIGN_NPA_LOCAL_CALLS,FOREIGN_NPA_TOLL_CALLS,PERM_HNPA_LOCAL_CALLS,PERM_HNPA_TOLL_CALLS,PERM_HNPA_FOREIGN_LOCAL_CALLS,"DIALING_PLAN_NOTES"
272,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,PA,US,Y,01-JAN-47,,501 500,"",Yes,717/223,,,E,,501,No,No,10D,10D,1+10D,1+10D,1+10D,1+10D,NA,"All calls within and between the 717 and 223 NPAs can be dialed as 10D or 1+10D.  Calls to other NPAs must be dialed as 1+10D."
273,General Purpose Code,Yes,,Yes,No,,G,,CANADA,N,,,,"",No,,,,,,,No,No,,,,,,,,""
274,General Purpose Code,Yes,,No,Yes,06-NOV-08,G,WI,US,N,,,442 417 385,"",Yes,274/920,920,,C,,385,No,No,10D,1+10D,1+10D,1+10D,NA,NA,NA,""
275,General Purpose Code,Yes,,No,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
276,General Purpose Code,Yes,,No,Yes,07-MAR-01,G,VA,US,Y,01-SEP-01,,319 285 275,"",No,,540,,E,,275,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
277,Easily Recognizable Code,Yes,,No,No,,N,,,N,,,,"",,,,,,,,,No,,,,,,,,""
278,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
279,General Purpose Code,Yes,,No,Yes,09-FEB-17,G,CA,US,N,10-MAR-18,Active,502,"",Yes,916/279,916,,P,,502,No,Yes,1+10D,1+10D,1+10D,1+10D,NA,NA,NA,""
280,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
281,General Purpose Code,Yes,,No,Yes,19-AUG-94,G,TX,US,Y,02-NOV-96,,006,"",Yes,281/346/713/832,713,,C,,,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,""
282,General Purpose Code,Yes,,No,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
283,General Purpose Code,Yes,,No,Yes,31-OCT-00,G,OH,US,N,,,316 286 264,"",Yes,283/513,513,,E,,264,No,No,10D,1+10D,10D,1+10D,1+10D,NA,NA,"Carriers must provide permissive 1+10D dialing for Foreign NPA Local Calls in areas where they provide optional EAS"
